commit_hash,branch_name
26bb5732bae7f198603c5c5b431361427884b961,1.3.1
ccb240f036756128953975270fdefc3f6b2118d2,avvikelse
ca1738c03d94ac913d93894c4d3f0a08b9f3c80e,cleanup
930128201826049b477adc1b32803336a1a7c8c7,departurefavorites
56ccdabbd061abcbddd67af813d6e4aab799ada5,dev
812df37d40f389514f101aef8ceea8b30e3378ee,favorites
a8c0689aa1f934e2776ae4cec81c6d25aa179ed8,fragments
101853ea8c0eb8b44cee3d5ca943074394226e60,gradle
26fdbe5ac5823948808c7f63bdf74e266a67551a,history
f3b9a5d977706322634b8c6e1d524fe95a9e3089,improved-gui
206e3b3f50eb62aa86f33b7fbf52f075c7c334ae,map
256d40af7d67c0f201d2ede877437a82968b3206,master
5686f010fb93b9be306adc206f995ccb0b4ade09,new-select-from-map
b2aec0109fb9cc7b0e060a4d5ab85a0b02f23e35,newtabs
f9c258814e9698ee3c4a6968f39f003907296117,search-by-time
7c826c4f079c6575b381e6f178554a166fc2ad37,viewonmap
1124b82aa450015e080d94505facc91bb4df81c6,ws
