commit_hash,branch_name
8646ae661f91150be4bb67594a50d5bfbdeff2fb,develop
83a420f05f43faf80b37c620e20aa901a49ca9a7,dialogs
1a2951246f9cc21ee26a067315dcbd9b2e1b7e53,feature/travis-ci
03f940bcf2b603e9918a00be68dfec458adc29b4,master
