commit_hash,tag_name,tag_message
324d1e6251f0c02755ea8551cb789a66942accae,v2.3.2,
1a979b3d6efa9519e4f7c52239fa9e957794dfcf,v2.3.1,
ee35c21a20113437441a22a29bbb66cd53166070,v2.3.0,
13abb4e9eaf4c693e73384de5998cd75d5a5d048,v2.2.0,
1c025cfc82b8c16aa1680ee4b3da1da7772c9bec,v2.1.0,
b99a0fbd6e7057629275099d741a56817ad85765,v2.0.0,
dab9bc055ea6fff4f9e7c899e7964bc57b71d0b4,v1.5.0,
2e5a27400a900bbe5f587599934174f507698cb7,v1.4.0,
c0073d5f296b24e81ab2eaaa6fc643b93047f11f,v1.3.0,
194a5312344c0ab54e3800746f02592a0404d1f7,v1.2.1,
7f54fb294315ecb95446ddfadaac7dee5756a556,v1.2.0,
990f963d4cdf6b3b5975d639521d175cb2b37bd2,v1.1.0,
4c98abfaac22e97543a4896b1561b4d10924d098,v1.0.0,
ce1b611e91ec963e2667c93b25699dc08416168c,v0.9.2,
7791f45829f6ced1562eb677e76f8a5ade86c1ad,v0.9.1,
9972271b9c7ca26db3fb96be4e890e87bd458e66,v0.9.0,
