commit_hash,tag_name,tag_message
f7124aaf3ca08319ece3557a041e933bd2a7483e,v3.2,
2e943877838d78cd611c118e80a49e905962c1b6,v3.1,
c320412e85ca93222e6cf5f4375d60bfdc597224,v3.0,
8c64fea02ef67d514350dd6d675211884fb9e8a2,v2.4,
5623f942e3d87505e41c0ea87555667cb89cce59,v2.3,
9e6a29463c048600543f1593e92eb10b91b7f4b1,v2.2,
6632f8486feb4bada33c5a385c2a75d33572ec97,v2.1,
f63cf1460262a0298f090b35e9fe43c6d1dfa65d,v2.0,
b2183e57d11c81bee991562b1ee2f8f972e2bcd8,v1.4,
a07723bbca855721aaf7a2a9f555062b992abd9b,v1.3,
c9b12e0f7b6a48c70b5f881ae7442a4a5788ade3,v1.2,
25ddf329ca67ec3c20186da15419aaa2ae67b5c7,v1.1,
481fae182f185ee9b2abe2c79763beefbd458128,v1.0,
d327a3864742f4d4429f1bb983c6e17270edf59f,v0.9,
f480aaa66870f659f0c3e0ad3bc27dac3951114b,v0.8,
ea20df79a021a2b2e73dbc9aa7662668376098ae,v0.7,
4ab9a77cc63686c6833ff466110a0dbac5e197b5,v0.6,
17f7f89df9d1862abbc34a8fd87766a422c607ce,v0.5,
2792383ad5fd29841853845ae5824b0d7791c2c9,v0.4,
1451a576327fa44a401b10b6b7f8de34e7b2a3f4,v0.3,
c9afc1fe6cf83572607bdd44dc11a72717e7db10,v0.2,
7cbf6ae2ff569851a91767eb8ab7835f3fe35283,v0.14,
252e7aac422a21af09aeb35e2c829f125e08fcaa,v0.13,
50d50c0d8c1cec70729c18eb68ff3c9fe8bfa9f7,v0.12,
33b9fb1d9f334203d91e0d52b2f34f8a7e7f2a02,v0.11,
7acf45f0aaaf7a8c484210f419016df08390b5b9,v0.10,
3661baae0a163765e88c1f0b30216ca19fe4c73d,v0.1,internal forum betatest version
9239f1d9982cb23a63eaeb4673cecf52d3d34dd9,0.3,
