commit_hash,tag_name,tag_message
3ffb3b0fe5979e551eacb38ccbd80d82a7cf9ac0,v1.0.3,
c1102e84758d118abc01966a5a08ea59c062a9ab,v1.0.2,
e2b80a9abcf55c4914a6da69345f07de1b600632,v0.3.2,
477c8e291b00de1094fb8d127204e0d5c5675796,v0.3.1,
3f065fbd0ff7dfab73fbab7c1e9f761751070958,v0.3.0,
4def85be67aca82a919a46032fa986417af1f1a9,v0.2.1,
53b7c9d8b747857e11784cfc1e5a0cad0a5228d2,v0.2.0,
aad95c8f57909228434d077f229ba2e819c3065d,v0.1.0,
d203435b6ae98352fc86475c5199b116f4fc673c,1.1.0,
8ba2347dacf92259a3d6e03a33468f7441011ed5,1.0.4,
9946f9f9c9d9380b5aa91d2e1972be311aeb3170,1.0.1,
67f3cad3a785017cbbcf33122d671e8310b85549,1.0.0,
