commit_hash,tag_name,tag_message
36643138a5b6e474863b4ccbf18908caed403fce,RELEASE_0.9.9,
d03ed5d2dce2b1da36733d24cf6fca450c1d42d6,RELEASE_0.9.8,
447540ba6c724f450cd52d26c84b5868966f5e6c,RELEASE_0.9.7,
14316b6fe94e50ba9393a961761c50cd4e93be9e,RELEASE_0.9.6,
e655149af37273c6409ee0c454b90c1affb77de7,RELEASE_0.9.5,
4f25f9d854c28e308306313978f68f76844ce59c,RELEASE_0.9.4,
dde2937f6f5134501f9f78f177a390321fc7ce43,RELEASE_0.9.3,
cec15bb3932cac4cb6ce849d8670125d99fb5e62,RELEASE_0.9.2,
2a5180da90a05baef11922e870da8864d6c68a8b,RELEASE_0.9.14,
5ed90a2a4cc5253fcd76fb7d1ef871e6b167e118,RELEASE_0.9.13,
202937d80003aac7545ede5670be7741f5cd92c6,RELEASE_0.9.12,
2e22114f8ea37794142c408ae294b7252f8d674e,RELEASE_0.9.11,
d1a6681f25d03e719359e10daab677ce38c14d10,RELEASE_0.9.10,
c034a50778c6061c1507dfb480ac9698bac63020,RELEASE_0.9.1,
e3c6197f3348eb08d72856dfa5131ff0c7679498,RELEASE_0.9,
