commit_hash,branch_name
b7eb1f6c44a24d239cd2661d46b364b96a7dd5b1,develop
6fd915f3464866b26c0d2783137af133a628734c,feature/add-animation
51c82db823d6637953b29bcb5ce02d3011359081,feature/update-dependencies
b7eb1f6c44a24d239cd2661d46b364b96a7dd5b1,feature/update-deps
7ea42e7f66a2d5c64812216a1b4835b918c9a328,fix/buddybuild-firebase-setup
da428b204b091be72c360e7c93f5af6c3a1fb722,fix/slow-uptime
646f806da56f2253db9de315485ec13fd7477d63,gh-pages
2a37142fea3b44256175524fff8a14bb37b1d499,master
406e9d145b6743402e1afbbc2a5178231a27c25c,release/1.4.7
c15372901f4f0827b3ca7a241f22d364b4997b11,release/1.4.8
9f165776a38023e5ef415664bcd96e1dc3316458,release/1.5.0
71d2691e699a1aa2401513cabc09e574375b493c,release/1.5.1
