commit_hash,tag_name,tag_message
8f9f223dd1d2b68c9d05621534d56d898177ea34,V0.9.1,
3c5f5e92d5e9226f8a1779b7480c31423e690bf1,V0.9,
8eff2473c60d5a59cc43dbfada58317ec8e2b6b9,V0.8.3,
5321196f1ac923d89dbbb16166647a8d22f6132f,V0.8.2,
165501272854c5353977b0aa485789cd01548b3f,V0.8.1,
d1159b1d8a593de9a487bd830d6fc0fe48aad22a,V0.8,
89c2f525b3bc01c6cf6f440679ee25d785761799,V0.7.1,
f65cd3ce04966ea566a3381042ebb2dc4647c01a,V0.7,
e731367e5be85ae3b39486263bf5157434eb322f,V0.6.3,
3570ddc73193198b8f79344da63694a895236866,V0.6.2,
4ac729b0fef8e3b1f0c8b10713fe192b36d7e1f7,V0.6.1,
19bab7c026d69b598b6156a875bb8af823203619,V0.6,
9cf86e41e5c1fc35e23880f70ab53a1e8093fe3b,V0.5,
e1aba1dc99d37dd6a2fdae3eee101ec40e4715f2,V0.4.3,
7d179d3d2e72db102cfa167368e2109cc48e0f89,V0.4.2,
f87633e89f4b53febc299092e8b3ff9aab3c3712,V0.3.1,
f228f344c7cacd4919fe3e59d05e247fc057298d,V0.2,
97a8aa6586dec6e1acffb8487c46088a131f6ac8,V0.10.5.1,
b1a23fe0cc908e6c6a75b7938c9eb8b70b8ac7b9,V0.10.5,
31c41cceff9448d2ce788efabf3e3eaa5523b86b,V0.10.4.3,
a7e8a697b4d48ad5e77efe3595605cb72cca7369,V0.10.4.2,
e0e8da18618e55eb70a05ff2b2f7e52d080a3ae6,V0.10.4.1,
3f1d791d2396c17df42d8e633d6dd85f3c122e2c,V0.10.4,
b5f300a9b27f4773c1d4609595b50e9196012d8b,V0.10.3,
a3c3183e629a0b79983eb0f958a4d1056c3d2d88,V0.10.2,
abcaca54f5c1852e95d7fcf74361a834ea706e49,V0.10.1,
f77c95bdf60798572c1f912157248089d4741497,V0.10,
