commit_hash,branch_name
a7f6c14df84097d3386b617a8ff3a28e235c6210,announcement-queue
3b7d381c791a037e77c8797ee4233cc894178cf8,calendar
2bcb30dff796f0d936e8b2f50a0e5cb6060f60e1,coveralls
779af8e9caae3f1d636792730412f0c45bebaf0f,dedup-calendar-announcements
65321bc23bd595512dc3c1142d3ef3c3bb794993,master
7e7ace8c5725363ace2f2b4d4dcf42818ed80590,notifications
1a5947ae488cee5e4dc5cf81f205b3162ec9fdba,permissions
c1d65b06ae9135e7f5e01c6e7cdeb783a8c92b39,privacy-policy
df73ab86cb09fcbc4df61c306100076cdc663bbb,request-a2dp
cae84a57f6aee7d34c32c2b7da931fa6ba789b0f,settings
8fdc8ea0555ccefd9592a7fb40e983b7278c0215,untranslated
ca1b8d23c9c82adb0b69df0897bfafa1a0b24501,userfeedback
4fc57a6ee389329e1f4b38b9a99d4d8062ebb470,wifi
dbe44b28cc548aef9a885174806b387eb119b9eb,wifibackoff
