commit_hash,tag_name,tag_message
fe2f47150b3c5f69c33483fbed2bb81d428ea9d0,1.4.9,
8c8e335c1db7800787ec61372f291ddf4fa8e07d,1.4.8,
e76e46bb0a2edb315003520288b9fbea4817f3bf,1.4.7,
27c996d3802643a46697edc356d4933b3d68cd0c,1.4.6,
fb2ef1274e7d0fbbce29dcacc8e0d7a238aa1cc4,1.4.5,
ab0addca7da8c6d972fc3b792354431b219422e7,1.4.4,
a3fbdd60f092df98646f08daa4a0704eb52094fd,1.4.3,
03fa512369dd2d0e5a196e7d9426b19046318bf1,1.4.20,
a506c051fdbbd4bd402f78a18f210ded6a88c990,1.4.2,
208272bde04d103f33135ce81e54a863aa3908a5,1.4.19,
12bb8e44b47878b129e9605a28d522478c370615,1.4.18,
9862cee35d0b22fec119e3a4faf84d2e487e46f7,1.4.17,
778ecc9656d1f0870055718cfa43c6d95cac37de,1.4.16,
02e015174100d9ec32f369538e135bdfa05aab35,1.4.15,
4a5f3310892db8178a328381a997ef50748516ed,1.4.14,
85833d03dd36e623d72558c3231dc3b1f45a8317,1.4.13,
dc0fa192c12d1d32c7b00f5595f038ea67c9b4e1,1.4.12,
5b7ec711c916497499f33985f35078cd7e206fbb,1.4.11,
4e49c2c28970256992319ba81caccfc275ca8012,1.4.10,
481b727c7a4eed3274ba8fccfb76153c96cb64fc,1.4.1,
b980656cd8714e3828ba8020a3a4177178e53c4b,1.4.0,
612f24ef8bf03d5fc0f11c32161c0115efb02a30,1.3.1,
620414a35765d8b5ccc3cb42466f7802f26facb9,1.3.0,
925bcef11b45c02c607908df50c84c1b7fc664c6,1.2.2,
b1dc96d0ebb75044507b1286816410866a4a9c1a,1.2.1,
af4379a77f90f75078561f83f9a810ae92ceacfc,1.2.0,
4bd893f8c3d707265f26ab720c16691c4e7dc0cc,1.1.2,
f30f25ab73c3cc82074fbcf57f72e6359ee19141,1.1.1,
ee52bbfea9dd0b7de47292cf69d7152a8a5d769c,1.1.0,
c330780f7af22fa772e01c95544a3990a9531a00,1.0.2,
1f6d9ae69cc2a77c590983c3fba6322717a43ebe,1.0.1,
25a8f46f7d04d00068962d661c33c3b40ca81edf,1.0.0,
c812fc3eb5c266ae7f215e936520397d3cb2eabc,0.4.6,
54637ca2c209af2520a8c1ddf3d2ca14e3fa7311,0.4.5,
99806458c8c2c98e18f55e3d9e1b5d1e4a804fae,0.4.4,
0c5fa10219900745f15e3d55e5316da9af683c33,0.4.3,
c2c13d27837115b0d8c15075876ddba2160a8413,0.4.2,
0bab85a6b14783f836bff1fe933e23291dec92fb,0.4.1,
96ad73dbef1eb18571829b7d1a63f40dc1a60a44,0.4.0,
70213f3f8484a68420bfd6f53de0e96300e3a23a,0.3.6,
568e02727ba4b597ad6f1230151237e86b9e2018,0.3.5,
3b294cf1d9e8a6903132fef5014b3204e4989860,0.3.4,
616dd8045d8320583f1b5f7918d94f1717418c87,0.3.3,Display distance in POI map
a0ffd06eef6dc22cbe62dd739d8193a5b024705e,0.3.2,Web site link
ecfe5d22a81e152fb3473117ec7f9bd03094222e,0.3.1,GeoRSS importer
fe7f880c3c7a7d877018c87291b793526a8b046f,0.3.0,Placemarks in a map
6ed85fdcbddf6482d7bad9d0c761e5ce2cbe8bc5,0.2.2,Simple HMTL in placemark description
76d5a338d3e13132200cfb027691737475ec95e5,0.2.1,Import fix for non UTF-8 XML
fdaca9ece56cbcce415c947cb47cb71abbb7a671,0.2.0,Android 6 support
81fb2db3698c995cb78033d2bba42796cdc82ba8,0.1.2,Swipe on placemark detail
35d7d681146c35637ebf4ed12ba66dde04f85d90,0.1.1,Placemark collection file browser and text encoding bugfix
8968d7f9f107049342e76915f00ac73f78f6549f,0.1.0,0.1.0 Base version
