commit_hash,branch_name
1dcbe9386de6a98b1a52e762c77aa0653a584d48,action-bar
20081b50e252c706ca9dbc8a543b573cadf20d0d,column-stats
8f88567426e878ef9dff8c55c1d8ab1b0bb33751,custom-arrayadapter-without-fragments
2ea5d8e099eeb1df4713269f9de60b1c4c2fda4c,dev
b36ef3f65a8bd357dd2537b0f0343af11d92ac4f,keep-goal-info-in-graph
7c3cc244b048257baf1b5c3bda93e0533cc29015,master
3a69df10889b5e5b35b235a8d91e5648dab5f239,multi-value
8406dfa6a6d4af35a2e2872662e07f6dabe4509a,pause-resume--2
dd5c0d255bf952d0f453547b0cf8252e6e112efe,settings
ccb703e6c7d9ba3b5d215f46c0d8e29c39d7ae01,timer-formatting
cb6965d3d4c2c6fc5fd73fc4e3ba9e242daa2e3e,timer-sound
