commit_hash,tag_name,tag_message
05c7d84e007623f5f25d5d2c10db9f9a161592d3,0.9,
2b736dc4a5377c15a5c04e9da1dae089f7518e6e,0.8,
5641f53b4a6c869f347a9391272c906d8c417992,0.7,
2be5d65c6473cdcf39002a070b6fd4447fd7deb7,0.6.1,
8837e559ce9149838a2d1c1b54945ee43e41fb9f,0.6,
3bbc7310908a178a1a1af1a2bbe5cfb17c8f629f,0.5.2,
3b3f6f7ef8b0341cd7e34e05659b8e3c3321786c,0.5.1,
13cf955147874d5f83dba6665b119b5879d1d722,0.5.0,
ae2e0a3d976838fa94b1deb8401c651fdb3f042c,0.4.0,
681211e3475e457d01451e8f6663aeff4e148367,0.3.1,Correcting tag 0.3.1
72ad32fd04f75acb015f16ed4bed5d8b687f033b,0.3.0,
9587d95af11ec58d759f9a6546610ffa7ed242ea,0.2.0,
9aaf0163c99dc0dc525e267b7306dcd02da57db4,0.1.0,
