commit_hash,tag_name,tag_message
0bd1dba9fda75f1b2fa5493b83353073d2b1c908,v0.8.5,
0bf598f28690640fb8d88400302b0dd527fe1aee,v0.8.4,
eca3e8c09f97e7fe9522fd67adc614bc89a07123,v0.8.3,
c562f0912aeb52ce0b4e660e6274d94d66d9c833,v0.8.2,
92ecc46fa126823f735f82012cfe33c3155963ed,v0.8.1,
2b7cf53ba8dfd69a69a474e3abcafd766db92f92,v0.8.0,
bf64dbb56feb599b6d98784581192fbf93c92a87,v0.20,
fd5a558bec99c524a35e71c3837a45691d6b3716,v0.19,
22860743521afd7285d0d07c2415a32b1d86ee05,v0.18,
22860743521afd7285d0d07c2415a32b1d86ee05,v0.17,
22860743521afd7285d0d07c2415a32b1d86ee05,v0.16,
22860743521afd7285d0d07c2415a32b1d86ee05,v0.15,
22860743521afd7285d0d07c2415a32b1d86ee05,v0.14,
b9e78b3b9a53bc51114a3dffea3f175d4241b603,v0.13,
5c793b7ffd264c518528e6ef5406f8a8b7d795c6,v0.12,
5c793b7ffd264c518528e6ef5406f8a8b7d795c6,v0.11,
5c793b7ffd264c518528e6ef5406f8a8b7d795c6,v0.10,
d27a359cab018ca538c292fc55dbe63188ae245d,v0.09,
d27a359cab018ca538c292fc55dbe63188ae245d,v0.08,
d27a359cab018ca538c292fc55dbe63188ae245d,v0.07,
a7f5a38e8da81d38afaad711c23102ce6cbbd19f,v0.06,
12deb0115477b03c125338c94c9c0cdacd154322,v0.05,
12deb0115477b03c125338c94c9c0cdacd154322,v0.04,
12deb0115477b03c125338c94c9c0cdacd154322,v0.03,
12deb0115477b03c125338c94c9c0cdacd154322,v0.02,
2917dc5a6162dae0c97b76c87fd29ffb11c2c8f6,v0.01,
