commit_hash,tag_name,tag_message
14e3a8f79e7dec88519621ef58efb4f3ecf3d884,v1.5.1,
ed7953d8ccadf00612b99b680c97170bfb501986,v1.5.0,
3ec31b43a80b8c9d4e27faed4f202329e4c3df0f,v1.4.4,
6212c8a4bbe476c11acebfab468720dba4799165,v1.3.0,"Version 1.3.0

Addition of the japanese fonts
Optimizations"
7738c9296806f1b81811cb014f87cc8dd9070c1f,v-1.4.0,
fadfe3bf1037be767fdc6ec41a109132d654fd56,release-1.2.2,
21c9a7261568fd4a0bcbb102444d23d85654c2a5,release-1.2.1beta,
2d97b5c4b9f6dfea64597a0d90dadc3201511e4f,release-1.2.0beta,
3a08b5cb4a991649e9007939b1b18f50dcd21e1e,release-1.1.1Alpha,Fixing a few bugs
e106e38485e0c3d83f8b50f1d664eeb0349b2f10,1.0.0Beta,
