":LABEL",":ID","name:string"
"Branch","branch:653","master"
"Branch","branch:654","nonconfidence"
"Branch","branch:657","gh-pages"
"Branch","branch:658","mapview"
"Branch","branch:659","master"
"Branch","branch:665","master"
"Branch","branch:666","migrate-java-clean"
"Branch","branch:667","migrate-kotlin"
"Branch","branch:668","staging"
"Branch","branch:690","master"
"Branch","branch:691","mikey/travis"
"Branch","branch:693","master"
"Branch","branch:696","game-assets"
"Branch","branch:697","game-characters"
"Branch","branch:698","game-core"
"Branch","branch:699","game-screens"
"Branch","branch:700","game-textures"
"Branch","branch:701","master"
"Branch","branch:702","screen-manager"
"Branch","branch:703","screen-scale"
"Branch","branch:705","master"
"Branch","branch:707","for_tradehero2.0"
"Branch","branch:708","master"
"Branch","branch:710","master"
"Branch","branch:720","bloomberg"
"Branch","branch:721","develop"
"Branch","branch:722","gh-pages"
"Branch","branch:723","master"
"Branch","branch:724","moving_wings"
"Branch","branch:725","rxjava-retrofit"
"Branch","branch:750","firebase"
"Branch","branch:751","master"
"Branch","branch:753","master"
"Branch","branch:760","do-not-pause-timers-api-11"
"Branch","branch:761","master"
"Branch","branch:763","master"
"Branch","branch:796","dev/experimental/angle-desktop"
"Branch","branch:797","dev/experimental/linux-make"
"Branch","branch:798","dev/experimental/mouse-wheel"
"Branch","branch:799","dev/experimental/svg-dom"
"Branch","branch:800","dev/v1.60.0"
"Branch","branch:801","dev/vMaster"
"Branch","branch:802","master"
"Branch","branch:803","patch/v1.54.1"
"Branch","branch:804","patch/v1.58.1"
"Branch","branch:805","patch/v1.59.1"
"Branch","branch:807","game-activity-ui"
"Branch","branch:808","master"
"Branch","branch:817","master"
"Branch","branch:819","develop"
"Branch","branch:820","master"
"Branch","branch:830","master"
"Branch","branch:835","dev"
"Branch","branch:836","master"
"Branch","branch:838","master"
"Branch","branch:842","master"
"Branch","branch:844","gh-pages"
"Branch","branch:845","master"
"Branch","branch:847","Master"
"Branch","branch:849","master"
"Branch","branch:851","master"
"Branch","branch:857","adddialog"
"Branch","branch:858","gdt_ad"
"Branch","branch:859","gif_source_switch_option"
"Branch","branch:860","master"
"Branch","branch:861","shareQQ"
"Branch","branch:862","tmp"
"Branch","branch:864","master"
"Branch","branch:866","master"
"Branch","branch:868","master"
"Branch","branch:871","master"
"Branch","branch:874","develop"
"Branch","branch:875","feature/00nexturndoubletap"
"Branch","branch:876","master"
"Branch","branch:878","master"
"Branch","branch:884","master"
"Branch","branch:885","wear"
"Branch","branch:887","1.7.1"
"Branch","branch:888","1.7.2"
"Branch","branch:889","1.7.5"
"Branch","branch:890","1.9.1"
"Branch","branch:891","master"
"Branch","branch:893","dev"
"Branch","branch:894","master"
"Branch","branch:897","master"
"Branch","branch:899","master"
"Branch","branch:901","develop"
"Branch","branch:902","enhancement-upgrade_butterknife"
"Branch","branch:903","master"
"Branch","branch:904","refactoring"
"Branch","branch:906","master"
"Branch","branch:908","gh-pages"
"Branch","branch:909","master"
"Branch","branch:913","master"
"Branch","branch:915","master"
"Branch","branch:921","master"
"Branch","branch:923","master"
"Branch","branch:924","x86"
"Branch","branch:926","gh-pages"
"Branch","branch:927","master"
"Branch","branch:948","4.4"
"Branch","branch:949","4.5"
"Branch","branch:950","4_1"
"Branch","branch:951","4_2"
"Branch","branch:952","4_3"
"Branch","branch:953","ProductListFeature"
"Branch","branch:954","Test_Integration_Test_Issue"
"Branch","branch:955","android_studio3_move"
"Branch","branch:956","master"
"Branch","branch:961","master"
"Branch","branch:962","release"
"Branch","branch:964","master"
"Branch","branch:1010","iDRACdebug"
"Branch","branch:1011","master"
"Branch","branch:1013","master"
"Branch","branch:1015","master"
"Branch","branch:1017","master"
"Branch","branch:1019","develop"
"Branch","branch:1020","master"
"Branch","branch:1022","master"
"Branch","branch:1024","master"
"Branch","branch:1026","master"
"Branch","branch:1028","master"
"Branch","branch:1030","master"
"Branch","branch:1032","master"
"Branch","branch:1034","master"
"Branch","branch:1036","dev"
"Branch","branch:1037","master"
"Branch","branch:1039","develop"
"Branch","branch:1040","gh-pages"
"Branch","branch:1041","master"
"Branch","branch:1043","master"
"Branch","branch:1050","drivesync"
"Branch","branch:1051","master"
"Branch","branch:1054","master"
"Branch","branch:1081","gh-pages"
"Branch","branch:1082","master"
"Branch","branch:1083","qrcode"
"Branch","branch:1085","master"
"Branch","branch:1087","master"
"Branch","branch:1088","v1.0"
"Branch","branch:1092","master"
"Branch","branch:1117","feature/file_sync"
"Branch","branch:1118","master"
"Branch","branch:1120","googleplay"
"Branch","branch:1121","master"
"Branch","branch:1138","master"
"Branch","branch:1139","p2p-enhancements"
"Branch","branch:1140","saf-struggles"
"Branch","branch:1142","finish"
"Branch","branch:1143","iap_purchase_listener"
"Branch","branch:1144","master"
"Branch","branch:1145","non-consumable"
"Branch","branch:1146","step1"
"Branch","branch:1147","step2"
"Branch","branch:1148","step3"
"Branch","branch:1150","master"
"Branch","branch:1168","app-icon"
"Branch","branch:1169","create-custom-exercises"
"Branch","branch:1170","fancy-navigation-activity"
"Branch","branch:1171","highlight-selected-exercises"
"Branch","branch:1172","master"
"Branch","branch:1173","migrate_to_sql_db"
"Branch","branch:1174","rewrite-REST-access"
"Branch","branch:1175","training-timer"
"Branch","branch:1176","translation"
"Branch","branch:1177","wger"
"Branch","branch:1179","master"
"Branch","branch:1187","develop"
"Branch","branch:1188","master"
"Branch","branch:1189","palico-weapons"
"Branch","branch:1192","master"
"Branch","branch:1194","master"
"Branch","branch:1196","installfest"
"Branch","branch:1197","master"
"Branch","branch:1198","openalt"
"Branch","branch:1204","master"
"Branch","branch:1206","master"
"Branch","branch:1214","master"
"Branch","branch:1216","master"
"Branch","branch:1218","master"
"Branch","branch:1220","master"
"Branch","branch:1221","w9jds-master"
"Branch","branch:1224","master"
"Branch","branch:1225","work"
"Branch","branch:1234","develop"
"Branch","branch:1235","feature/issue_10"
"Branch","branch:1236","master"
"Branch","branch:1238","master"
"Branch","branch:1240","feature/routineMinder2_ios"
"Branch","branch:1241","gh-pages"
"Branch","branch:1242","master"
"Branch","branch:1243","routineMinder2"
"Branch","branch:1245","master"
"Branch","branch:1257","gh-pages"
"Branch","branch:1258","master"
"Branch","branch:1259","master-nonfree"
"Branch","branch:1261","master"
"Branch","branch:1295","f-droid"
"Branch","branch:1296","master"
"Branch","branch:1298","master"
"Branch","branch:1300","master"
"Branch","branch:1302","gh-pages"
"Branch","branch:1303","master"
"Branch","branch:1305","master"
"Branch","branch:1307","master"
"Branch","branch:1334","master"
"Branch","branch:1336","master"
"Branch","branch:1338","master"
"Branch","branch:1342","add-datetime"
"Branch","branch:1343","master"
"Branch","branch:1364","master"
"Branch","branch:1366","master"
"Branch","branch:1386","master"
"Branch","branch:1388","master"
"Branch","branch:1390","master"
"Branch","branch:1396","gradle"
"Branch","branch:1397","master"
"Branch","branch:1400","master"
"Branch","branch:1402","master"
"Branch","branch:1405","master"
"Branch","branch:1407","master"
"Branch","branch:1409","master"
"Branch","branch:1410","notification"
"Branch","branch:1411","profiles"
"Branch","branch:1412","widget"
"Branch","branch:1420","master"
"Branch","branch:1422","master"
"Branch","branch:1425","master"
"Branch","branch:1429","master"
"Branch","branch:1431","master"
"Branch","branch:1435","eternalearth888"
"Branch","branch:1436","master"
"Branch","branch:1451","master"
"Branch","branch:1456","gh-pages"
"Branch","branch:1457","master"
"Branch","branch:1464","master"
"Branch","branch:1466","dev"
"Branch","branch:1467","feature/eb-basic-navigation"
"Branch","branch:1468","feature/eb-display-occurence-list"
"Branch","branch:1469","feature/eb-ocurrence-fetching"
"Branch","branch:1470","master"
"Branch","branch:1476","master"
"Branch","branch:1495","master"
"Branch","branch:1497","master"
"Branch","branch:1512","master"
"Branch","branch:1514","master"
"Branch","branch:1516","master"
"Branch","branch:1518","master"
"Branch","branch:1522","master"
"Branch","branch:1524","master"
"Branch","branch:1526","master"
"Branch","branch:1528","master"
"Branch","branch:1530","master"
"Branch","branch:1545","master"
"Branch","branch:1547","master"
"Branch","branch:1549","master"
"Branch","branch:1551","master"
"Branch","branch:1554","master"
"Branch","branch:1557","feature/config-activity"
"Branch","branch:1558","feature/gradient-change"
"Branch","branch:1559","master"
"Branch","branch:1560","new-background"
"Branch","branch:1562","master"
"Branch","branch:1564","master"
"Branch","branch:1566","master"
"Branch","branch:1569","master"
"Branch","branch:1571","master"
"Branch","branch:1573","master"
"Branch","branch:1576","code_loading"
"Branch","branch:1577","develop"
"Branch","branch:1578","feature-#level_rendering"
"Branch","branch:1579","leaderboard"
"Branch","branch:1580","login"
"Branch","branch:1581","master"
"Branch","branch:1582","test"
"Branch","branch:1583","testscroll"
"Branch","branch:1586","gh-pages"
"Branch","branch:1588","master"
"Branch","branch:1590","master"
"Branch","branch:1598","master"
"Branch","branch:1599","new-bt-hotspots"
"Branch","branch:1601","master"
"Branch","branch:1604","gh-pages"
"Branch","branch:1605","gradle"
"Branch","branch:1606","issue_41"
"Branch","branch:1607","lock_keys_on_disc"
"Branch","branch:1608","lock_keys_on_disconnect"
"Branch","branch:1609","master"
"Branch","branch:1610","pubkeysetup"
"Branch","branch:1612","master"
"Branch","branch:1615","master"
"Branch","branch:1617","master"
"Branch","branch:1619","master"
"Branch","branch:1622","master"
"Branch","branch:1644","master"
"Branch","branch:1645","raw_attempt_ipc"
"Branch","branch:1647","master"
"Branch","branch:1654","develop"
"Branch","branch:1655","master"
"Branch","branch:1657","master"
"Branch","branch:1659","master"
"Branch","branch:1661","master"
"Branch","branch:1663","master"
"Branch","branch:1667","master"
"Branch","branch:1669","master"
"Branch","branch:1671","master"
"Branch","branch:1673","master"
"Branch","branch:1675","master"
"Branch","branch:1677","master"
"Branch","branch:1679","master"
"Branch","branch:1686","master"
"Branch","branch:1694","master"
"Branch","branch:1698","master"
