commit_hash,branch_name
c5b05432a3e02394a741b8c2dd2e6f2c8d16a5ac,FixBug#01
5cf4cfd19ac3d7691527bbde2dbe2b99e870e2eb,FixingBugs
eda9e6b36a148545e37967c11f624c70dcd9b998,Refactoring
23b7c912dc2e5fd6404ebe2eb3dc40ee03c03fe1,code_coverage
45a455b64dccc40eabdcd548a54ac1c02db6a03c,devel
3b9ff63029687ec1c4d7ce008e841f83d7cd87c8,master
59cf569bf540457ffe667bc0461a363b6854c883,refactoringSegmentsOfBill
42a6c10bc5b5dc943229c561dae61eedb7d19c6e,stringRefactor
7bfc80a1defc9364d274fe55f7f51247c66d1364,ts01_testView
a1217b2cfbafcdc3cc71dc27e803bd3c85cf4efd,ts02_daoTest
ad2744bba12103a06172b8235429c32e8d5f7c13,ts03_testModel
ab065114ef09851b45553a62ea3337ef917b432f,ts04_controllerTest
b08c0124745e8ad9d3216d789913ef3b18282fdd,ts06_filteringDesign
62487961ee59037832749e8d95c534befc299726,ts07_landScapeView
91ce69ce3caeff877719afd74faa79c84ecce942,ts08_SegmentsNotClickable
a3278b8f2b0cd6e314c0eed23c06ef92a222c8d5,ts09_ImproveRegistrationScreenPerformance
d536d72d90e9d2a4037b2072c261eafbbf530b12,ts10_ImproveAMLOC
2538e27a2ec83ccc9a64c5be04b7fcc45ab20d33,ts10_fixCode
21b6b31f1d2fd4efd8e612dea53b53b0367f4e9a,ts11_improve_acc
2ba2ab2a9d0380dbfdbaa3ac467bb1184bcab24e,ts12_refactor_data_download
cd60f5bf89f3bc96359d2cc83ccfefd64a6a7c13,ts13_mockarAPI
28a25e06603a8148e17181c04f11815279edf7ad,ts14_redesignComment
ccc231e758bde194fa96295d2c4a4481ad3117dc,ts15_redesignSuggestion
964d188b9caaccafc6a72554b7553f8444b150c5,us01_Login
121bd4088d09dbf5c79e635c4f78799a9488f231,us03_Search
a58d5736d7dad937500dd94ab40fc450e2ed8844,us04_suggestProposal
c07ef4bd2d8a67dcd7efc49df4c095b5e35aa832,us05_reportError
0cacb0c8467ae2f9346634646b971555a473e803,us06_aboutApp
b4d07175a06081c80c5665d7cb85ed4bd8f4673c,us07_evaluateSegment
f85312fb42bc59306ee1cce01d1ec5c1fcdec08d,us08_WhatsAppShare
6e76a9a8d6a662117858bfad814dd2002c27e0d9,us09_CommentBill
fc55a19dae5e1db0e22f2ee443614fbf81cdaf9a,us11_seeComments
55ef108a1bb8d154dbf8a38142a6f3aeb43b6436,us12_notification
4a7ba8366cb7047f39255775453462ef5747e4a6,us13_Download_data
