commit_hash,tag_name,tag_message
29b1f5dc55855be755d2e557b5e8544b43602aaf,1.3.0,
72f9c04beba1856c214e62ddb64bc7921502ce86,1.2.2,
3970823bac6bb03592ef0209349f03bd0df5741b,1.2.1,
18c48ca11c79f3e85a683ee1c824c5b7fa3faa64,1.2.0,
cb091df7b58f7fd0549c59742fa5d10da9f643a0,1.1.6,
cb091df7b58f7fd0549c59742fa5d10da9f643a0,1.1.5,
905d2b4ae194c2641bc1ca1a481a89070869a515,1.1.2,
c9ad1a7514ded0b263794ab4ed6b95297ea62767,1.1.1,
7d06ea9ead5bdd3aed0c2ebb33d95a761f4a6507,1.1,
f5763c0f47453a4d70d9f25817ee119294a259fb,1.0.1,
