commit_hash,tag_name,tag_message
56f3653dc21514b1e841c240614c289646aa25c9,v5.2,
480a34a41d1d899f818649d3dcb96e4a23621f55,v5.1,
6e5b6c0aedf140be140af5e7a51fdfad2324d0ae,v5.0.1,
9b5dc75630a35266f7c1313ca7c22d7ca60fb449,v5.0,
ca525300ea2266b73aa75d531d493b49a81677d7,v4.2,
7819fccff0b4502fca09b6aa502400ff52e04bd8,v4.1,
6b8c83ba22b164784c1c28244c5ce261372e9477,v4.0.4,
f7dda394e5cde17104e60c74f542f990c7969131,v4.0.3,
9a1b6c47d84cd3949982d8618959ea612b70d504,v4.0.2,
dcadb86e6f21673087318c4abba37c951b9812f1,v4.0.1,
94fd756398c40d61334a582e961fb3df8c3efe27,v4.0.0,
