package,manifestPaths,gradleConfigPaths,mavenConfigPaths
org.projectmaxs.module.smswrite,module-smswrite/AndroidManifest.xml,,
org.projectmaxs.module.filewrite,module-filewrite/AndroidManifest.xml,,
org.projectmaxs.module.notification,module-notification/AndroidManifest.xml,,
org.projectmaxs.module.smssend,module-smssend/AndroidManifest.xml,,
org.projectmaxs.module.wifiaccess,module-wifiaccess/AndroidManifest.xml,,
org.projectmaxs.module.clipboard,module-clipboard/AndroidManifest.xml,,
org.projectmaxs.module.wifichange,module-wifichange/AndroidManifest.xml,,
org.projectmaxs.module.contactsread,module-contactsread/AndroidManifest.xml,,
org.projectmaxs.module.fileread,module-fileread/AndroidManifest.xml,,
org.projectmaxs.module.bluetoothadmin,module-bluetoothadmin/AndroidManifest.xml,,
org.projectmaxs.module.bluetooth,module-bluetooth/AndroidManifest.xml,,
org.projectmaxs.module.alarmset,module-alarmset/AndroidManifest.xml,,
org.projectmaxs.module.smsread,module-smsread/AndroidManifest.xml,,
org.projectmaxs.transport.xmpp,transport-xmpp/AndroidManifest.xml,,
org.projectmaxs.module.phonestateread,module-phonestateread/AndroidManifest.xml,,
org.projectmaxs.module.misc,module-misc/AndroidManifest.xml,,
org.projectmaxs.module.ringermode,module-ringermode/AndroidManifest.xml,,
org.projectmaxs.module.nfc,module-nfc/AndroidManifest.xml,,
org.projectmaxs.main,main/AndroidManifest.xml,,
org.projectmaxs.module.smsnotify,module-smsnotify/AndroidManifest.xml,,
org.projectmaxs.module.locationfine,module-locationfine/AndroidManifest.xml,,
org.projectmaxs.module.shell,module-shell/AndroidManifest.xml,,
