commit_hash,tag_name,tag_message
601b69a674cb2bcc264557d1000a574ca60360da,v0.9.10,
3b25962a80818a4aa25a0858188ffb253811dd1a,v0.2.0,
b997123c37540cc9f3b4544daebd8a83655b8b51,0.9.5,
fbf29cd8dfe6ca6d1c1efa97fa77a256555ba5ad,0.8.5,
68f70b8838594bebc05a1a565924ae1c7248bbbd,0.8.4,
3b6219a873e9f9f46817438d0593bf9366084dc9,0.8.2,
faacc520576b3e1131e74bb8f6502db4f7235d82,0.2.9,
66dbe459667f0863a3efb34ba279156efcaf54f7,0.2.8,
a6bfcc5f93f29eb518c3bce1e6fc4becf4537c74,0.2.7,
e06d32a59dbc44dcf48a67d320679ce679c362fc,0.2.5,
30d851567bb1c7d617f4c2d688be8d9017987b57,0.2.4,
525c26f42671701f38097dfa1e6a969f480361ea,0.2.1,
16dd395a1f25178af046621348f93dbfad123ed4,0.1.0,
