commit_hash,branch_name
5672054ab5f51ea592ef80bce828110517183cef,0.92
39268dc5ebfd6384766e153fbb67b584c55346a0,0.93
c8089513d08251b01b837349bfeb7ce20639d871,1.0
d0676f2f3a864d58841eec843d9ccd293e227a20,1.2
6673e3227aa7ce6c97dec7695e9c93b8526f7a14,appveyor
25d48f64ee68e94225b731bda07170b5a244810a,currentBasedSynapses
e65c42405c33353c4c2b4ca1a9d85cc6318f237a,desktop
e2afb2bf7d63a6ebf85da1f704c27aaa2ca1009b,dev
0cb710e5a154f75c33d62f1add47bc3004e507b2,emscripten
a4a3855618b51e06339b6e59c7518c30003feb35,firingrate
a6f38219f39510df28531fb6e7e6863e06de355d,gh-pages
9c31dc778c15a4772fea3aa8ddd3dfa4facb7965,ios
bd3e000ec99a64619c65650e7442571b3696224d,ltp
3b7dc21abb8e5b5dcbb5b846461b5ba4a953f6a5,macdeploy
0d71e6e90bd2f1fe7a21344c3a37402c836b3e97,master
faba9c57d204905aad501a1c7f741c226b697953,multicompartment
c31d524761d66f3af1243dd3fb8735dd14d9089c,retina
b8e63690f9f39cfb87ace36586a61ff20963b14e,retina_missing_camera
a6720b2b186ca373373586f8cd0f32e789e4a200,savesplash
f0ef5da2abfd18a4d9bd24999492452753da3c57,sfn
e115326739104023f97274694aa3d0e2f76f4f93,tidy
dc9fc6bd525f440273bfafeb7a2a794f1e8342e8,touchSensor
c55e9c6aa3282fe53a9916871072a2901756c56d,travis_snap_test
f2cb37c85a779c821471511313107aed9fb867bd,travistest
62467dd811b9ecd70ed774784dec18253378795c,vibration
3670c00d3cadc2d5df99a1e6f97c439499d347d2,voltageTrace
68337d9b0ef6a78231fd6b11bfcc8b65eea17cf5,win
