commit_hash,branch_name
87f0a04ed2134c0a5ee14e4ee4008822fa0c0be4,add-constraint-layout
5a9db8f96f3039831d8662c3c4898ee9851fa001,develop
d6f167dd4a3f8519be00719f2650808c9451d9b9,master
188bfa6671539d411a0f86f1400e3709eea826ea,redux
97738fca1648ee1f74412bf59446950351084b81,revert-resource-callbacks
2e674236f4bc7ef91e284b862933679b256cab3b,store
78d8b25c53115e6e0d3cf1dc7cd2cf192ee41b48,tech/block-canary-ex
4e5feefd5b23389deb0be453add9fcaafd3ad0ea,tech/kotlin
5459d5d46fdc61ea882e1d1fdef7f0c5243addd3,tech/kotlin-data-classes
ec9f40a2238560957a0128fb9f692a68c9821865,tech/lce
164e59b816d4f286ab0b178ad5a4e969371eddfe,tech/modularization
61e70d8a3cba8bbe2474e20f3b2a167dc5ae0e75,tech/refactor-lambdas
748640518c354449d44b7f63df272a29608fc196,tech/replace-retrolambda-with-java8
e6a8caef1d1acc416a6c2fad504fab82635517e7,tech/retry-policy
5d82816a0803b7cb88ae69817df7dbd52961bcb0,tech/travis-env
